Census Tract,Total Population,California County,ZIP,City,"Drinking Water
Score","Drinking Water Score
Pctl",Arsenic,"Arsenic
Pctl",Cadmium,"Cadmium
Pctl",DBCP,"DBCP
Pctl",HexChrom,"HexChrom
Pctl",Lead,"Lead
Pctl",Nitrate,"Nitrate
Pctl",Perchlorate,"Perchlorate
Pctl",TCE,"TCE
Pctl",THM,"THM
Pctl",Uranium,"Uranium
Pctl","MCL
Violations","MCL
Violations
Pctl","TCR
Violations","TCR
Violations
Pctl"
6073020207,4765,San Diego,92027,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020208,2501,San Diego,92027,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020209,4748,San Diego,92027,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020210,4639,San Diego,92027,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020211,6702,San Diego,92027,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020213,4028,San Diego,92025,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020214,5143,San Diego,92025,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020500,5196,San Diego,92025,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020601,5560,San Diego,92025,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020602,5859,San Diego,92025,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020705,4635,San Diego,92027,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020707,4734,San Diego,92025,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6073020708,3437,San Diego,92025,Escondido,272.69,36.77,0.541,42.43,0,0,0,0,0,0,0,0,0.222,21.31,0,0,0,0,43.428,70.06,1.269,40.16,0,0,1.000,98.73
6037601302,6856,Los Angeles,90302,Inglewood,286.66,39.00,0.390,34.82,0,0,0,0,0.001,41.00,0,0,0.807,31.33,0,0,0.001,66.85,46.188,72.73,1.268,39.93,0,0,0,0
6037541200,5662,Los Angeles,90222,Compton,395.25,57.56,1.130,63.16,0,0,0,0,<0.001,40.00,0.012,76.46,0.828,31.50,0,0,0.014,71.74,45.814,72.48,1.268,39.91,0,0,0,0
6037601401,4683,Los Angeles,90301,Inglewood,284.45,38.47,0.389,34.80,0,0,0,0,<0.001,40.20,0,0,0.804,31.22,0,0,<0.001,65.58,46.196,72.75,1.268,39.90,0,0,0,0
6037601100,6533,Los Angeles,90301,Inglewood,178.57,16.85,0.389,34.79,0,0,0,0,0,0,0,0,0.803,31.13,0,0,0,0,46.198,72.77,1.268,39.89,0,0,0,0
6037600703,1914,Los Angeles,90305,Inglewood,178.63,16.94,0.389,34.76,0,0,0,0,0,0,0,0,0.803,31.12,0,0,0,0,46.198,72.87,1.268,39.87,0,0,0,0
6037600902,6613,Los Angeles,90302,Inglewood,178.63,16.94,0.389,34.76,0,0,0,0,0,0,0,0,0.803,31.12,0,0,0,0,46.198,72.87,1.268,39.87,0,0,0,0
6037601001,2154,Los Angeles,90301,Inglewood,178.63,16.94,0.389,34.76,0,0,0,0,0,0,0,0,0.803,31.12,0,0,0,0,46.198,72.87,1.268,39.87,0,0,0,0
6037601002,5311,Los Angeles,90301,Inglewood,178.63,16.94,0.389,34.76,0,0,0,0,0,0,0,0,0.803,31.12,0,0,0,0,46.198,72.87,1.268,39.87,0,0,0,0
6037601211,2823,Los Angeles,90301,Inglewood,178.63,16.94,0.389,34.76,0,0,0,0,0,0,0,0,0.803,31.12,0,0,0,0,46.198,72.87,1.268,39.87,0,0,0,0
6037601212,6511,Los Angeles,90301,Inglewood,178.63,16.94,0.389,34.76,0,0,0,0,0,0,0,0,0.803,31.12,0,0,0,0,46.198,72.87,1.268,39.87,0,0,0,0
6037601303,4879,Los Angeles,90302,Inglewood,178.63,16.94,0.389,34.76,0,0,0,0,0,0,0,0,0.803,31.12,0,0,0,0,46.198,72.87,1.268,39.87,0,0,0,0
6037600602,2551,Los Angeles,90303,Inglewood,249.55,32.61,0.389,34.77,0,0,0,0,0,0,<0.001,71.09,0.803,31.12,0,0,0,0,46.198,72.78,1.268,39.78,0,0,0,0
6037601202,4115,Los Angeles,90301,Inglewood,249.91,32.73,0.389,34.81,0,0,0,0,0,0,<0.001,71.43,0.803,31.16,0,0,0,0,46.195,72.74,1.268,39.77,0,0,0,0
6111005305,5777,Ventura ,93012,Camarillo,324.79,45.60,2.328,84.76,0,0,0,0,0,0,0,0,17.039,90.63,0,0,0.049,75.62,16.832,34.03,1.267,39.76,0,0,0,0
6037600601,2461,Los Angeles,90303,Inglewood,251.24,33.01,0.392,34.89,0,0,0,0,0,0,<0.001,72.68,0.805,31.25,0,0,0,0,46.092,72.69,1.267,39.74,0,0,0,0
6073020706,6286,San Diego,92025,Escondido,545.93,85.50,0.532,42.07,<0.001,93.82,0,0,<0.001,40.02,0,0,0.256,21.66,<0.001,77.98,<0.001,64.70,42.963,69.52,1.265,39.73,0,0,0.690,96.43
6111008004,5156,Ventura ,93065,Simi Valley,193.96,19.59,1.317,69.81,0,0,0,0,0,0,0,0,3.288,46.45,0,0,0,0,18.344,37.97,1.263,39.72,0,0,0,0
6111005304,5325,Ventura ,93012,Camarillo,325.48,45.67,2.375,85.15,0,0,0,0,0,0,0,0,17.542,90.94,0,0,0.050,75.67,16.827,34.01,1.261,39.71,0,0,0,0
6111005306,4867,Ventura ,93012,Camarillo,325.48,45.67,2.375,85.15,0,0,0,0,0,0,0,0,17.542,90.94,0,0,0.050,75.67,16.827,34.01,1.261,39.71,0,0,0,0
6065042717,5079,Riverside ,92587,Sun City,581.77,88.71,0.838,54.55,0,0,0.003,83.63,0.046,46.51,0.089,84.53,4.129,60.40,0.175,89.62,0.010,71.27,30.472,51.57,1.261,39.68,0,0,0,0
6037534406,4609,Los Angeles,90201,Bell,332.33,46.56,0.004,19.05,0,0,0,0,0,0,0,0,5.759,67.53,1.705,97.23,1.456,99.03,0.304,9.82,1.260,39.67,0,0,0,0
6037503801,4080,Los Angeles,90638,La Mirada,198.25,20.11,1.570,73.12,0,0,0,0,0,0,0,0,0.007,8.19,0,0,0,0,51.296,77.29,1.259,39.65,0,0,0,0
6059074407,6700,Orange ,92705,Santa Ana,354.97,51.31,0.341,33.68,0,0,0,0,0.238,64.46,0,0,9.259,77.05,0.051,85.90,0,0,31.788,54.23,1.258,39.64,0,0,0,0
6113010310,5485,Yolo ,95691,West Sacramento,258.46,34.12,5.700,97.57,0,0,0.510,99.72,NA,NA,0,0,0.238,21.54,0,0,0,0,NA,NA,1.255,39.63,0,0,0,0
6113010402,3832,Yolo ,95691,West Sacramento,367.10,52.64,5.693,97.48,0,0,0.509,99.55,10.385,96.15,0,0,0.246,21.60,0,0,0,0,0.825,12.71,1.253,39.62,0,0,0,0
6065042901,7385,Riverside ,92570,Perris,576.86,88.40,0.714,51.34,0,0,0.003,83.71,0.037,46.06,0.092,84.72,4.075,60.27,0.167,89.39,0.007,70.50,29.828,51.27,1.253,39.60,0,0,0,0
6037503702,5040,Los Angeles,90604,Whittier,388.98,56.50,1.564,72.94,0,0,0,0,0.002,41.64,0,0,0.028,13.29,<0.001,76.68,0.001,66.23,51.437,78.61,1.252,39.59,0,0,0,0
6065042510,5048,Riverside ,92553,Moreno Valley,569.40,87.46,0.515,40.69,0,0,0.003,84.55,0.024,45.43,0.098,84.96,4.012,60.09,0.156,89.19,0.004,69.30,33.292,55.62,1.252,39.58,0,0,0,0
6037503703,7876,Los Angeles,90638,La Mirada,383.92,55.63,1.565,72.98,0,0,0,0,0.002,41.53,0,0,0.014,8.52,<0.001,76.63,<0.001,65.89,51.500,78.81,1.251,39.56,0,0,0,0
6037504002,5383,Los Angeles,90638,La Mirada,290.33,39.53,1.565,73.01,0,0,0,0,0,0,0,0,0.007,8.21,0,0,0,0,51.468,78.70,1.251,39.55,0,0,0.002,90.86
6037503901,2702,Los Angeles,90638,La Mirada,199.23,20.14,1.567,73.07,0,0,0,0,0,0,0,0,<0.001,7.77,0,0,0,0,51.549,78.86,1.250,39.54,0,0,0,0
6037503802,5054,Los Angeles,90638,La Mirada,191.48,19.14,1.567,73.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.550,78.90,1.250,39.53,0,0,0,0
6037503902,4636,Los Angeles,90638,La Mirada,191.48,19.14,1.567,73.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.550,78.90,1.250,39.53,0,0,0,0
6037504001,5709,Los Angeles,90638,La Mirada,191.48,19.14,1.567,73.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.550,78.90,1.250,39.53,0,0,0,0
6037534405,4292,Los Angeles,90201,Bell,463.84,75.23,<0.001,17.68,0,0,0,0,0.132,49.42,0,0,5.750,67.50,1.726,97.24,1.469,99.05,<0.001,3.84,1.250,39.49,0,0,<0.001,89.61
6065043513,2456,Riverside ,92583,San Jacinto,624.37,91.75,0.240,30.30,0,0,0.001,81.12,0.012,44.63,4.167,99.41,2.210,42.88,0.129,88.06,<0.001,64.51,21.547,41.97,1.250,39.47,0.004,92.00,0,0
6065043007,6811,Riverside ,92883,Corona,603.66,90.01,2.344,84.84,0,0,0.002,83.07,0.128,49.28,0.050,82.21,4.546,61.75,0.241,91.44,0.036,74.56,17.810,37.05,1.249,39.46,0,0,0,0
6037543100,6759,Los Angeles,90220,Compton,390.96,56.78,0.990,60.33,0,0,0,0,<0.001,40.75,0.015,76.72,0.781,30.62,0,0,0.008,70.67,45.601,72.43,1.248,39.45,0,0,0,0
6077005106,6017,San Joaquin,95337,Manteca,616.28,91.32,2.502,90.44,<0.001,93.61,0.029,91.50,NA,NA,0,0,4.309,60.92,0,0,0,0,29.237,50.79,1.247,39.44,7.328,99.06,0.001,90.51
6099001900,5257,Stanislaus ,95354,Modesto,402.74,58.78,2.279,84.44,0,0,0.029,91.54,0,0,0,0,40.767,99.95,0,0,0.006,70.26,2.510,17.13,1.247,39.42,0,0,0,0
6037534501,5201,Los Angeles,90255,Huntington Park,386.98,56.06,0.674,47.04,0,0,0,0,0,0,0,0,11.568,83.19,0.204,90.36,0.021,72.60,32.039,54.38,1.247,39.41,0,0,0,0
6037550201,2941,Los Angeles,90650,Norwalk,444.14,64.09,0.585,43.48,0,0,0,0,0.155,50.05,0,0,9.680,78.46,0.205,90.38,0.153,80.95,36.754,61.43,1.245,39.40,0,0,0,0
6065043001,5593,Riverside ,92530,Lake Elsinore,604.02,90.04,2.353,84.91,0,0,0.002,82.93,0.126,49.14,0.051,82.37,4.500,61.61,0.241,91.43,0.036,74.51,18.198,37.73,1.244,39.38,0,0,0,0
6037400205,3204,Los Angeles,91711,Claremont,742.16,98.20,8.834,99.09,0,0,0.009,87.34,0.012,43.12,0.073,84.04,6.595,71.17,0.112,87.82,0.098,77.70,35.041,58.39,1.243,39.37,0,0,0.101,94.13
6111006400,7126,Ventura ,91360,Thousand Oaks,325.86,45.76,2.359,84.99,0,0,0,0,0,0,0,0,17.143,90.68,0,0,0.049,75.63,17.425,35.21,1.243,39.36,0,0,0,0
6073019001,5946,San Diego,92028,Fallbrook,724.78,97.34,0.885,56.29,0.017,97.08,<0.001,76.66,0.015,44.80,<0.001,72.56,2.903,45.19,0.071,86.72,0.009,71.13,21.685,42.21,1.242,39.35,0,0,0.018,92.79
6065042619,11267,Riverside ,92571,Perris,486.62,77.73,0.734,51.62,0,0,0.002,81.55,0.007,42.27,0.057,83.16,2.759,44.85,0.081,86.99,0,0,33.739,56.84,1.240,39.33,0,0,0,0
6037533104,4356,Los Angeles,90255,Huntington Park,387.31,56.10,0.676,47.12,0,0,0,0,0,0,0,0,11.652,83.27,0.205,90.40,0.021,72.61,32.287,54.58,1.239,39.32,0,0,0,0
6037533103,3577,Los Angeles,90255,Huntington Park,387.36,56.11,0.676,47.13,0,0,0,0,0,0,0,0,11.653,83.29,0.205,90.41,0.021,72.62,32.291,54.60,1.239,39.31,0,0,0,0
6059052422,4165,Orange ,92630,Lake Forest,309.17,43.69,0.785,52.63,0,0,0,0,0,0,0,0,2.643,44.64,0.065,86.42,0,0,52.481,86.19,1.239,39.29,0,0,0,0
6037533107,3645,Los Angeles,90255,Huntington Park,387.48,56.16,0.676,47.16,0,0,0,0,0,0,0,0,11.660,83.31,0.205,90.46,0.021,72.63,32.311,54.64,1.239,39.28,0,0,0,0
6037532604,2806,Los Angeles,90255,Huntington Park,499.40,80.17,0.676,47.19,0,0,0,0,<0.001,40.16,<0.001,71.45,11.665,83.35,0.205,90.56,0.021,72.73,32.324,54.69,1.239,39.27,0,0,0,0
6037533202,2762,Los Angeles,90255,Huntington Park,517.02,82.15,0.676,47.17,0,0,0,0,<0.001,39.35,0,0,11.662,83.32,0.205,90.45,0.021,72.76,32.312,54.65,1.238,39.25,0,0,<0.001,90.06
6037532605,3715,Los Angeles,90255,Huntington Park,496.62,79.27,0.676,47.21,0,0,0,0,<0.001,37.74,<0.001,71.08,11.665,83.36,0.205,90.55,0.021,72.72,32.325,54.71,1.238,39.24,0,0,0,0
6037532603,3319,Los Angeles,90255,Huntington Park,387.97,56.28,0.676,47.27,0,0,0,0,0,0,0,0,11.665,83.43,0.205,90.55,0.021,72.72,32.325,54.78,1.238,39.23,0,0,0,0
6037532606,4284,Los Angeles,90255,Huntington Park,387.97,56.28,0.676,47.27,0,0,0,0,0,0,0,0,11.665,83.43,0.205,90.55,0.021,72.72,32.325,54.78,1.238,39.23,0,0,0,0
6037533105,2580,Los Angeles,90255,Huntington Park,387.97,56.28,0.676,47.27,0,0,0,0,0,0,0,0,11.665,83.43,0.205,90.55,0.021,72.72,32.325,54.78,1.238,39.23,0,0,0,0
6037533106,1743,Los Angeles,90255,Huntington Park,387.97,56.28,0.676,47.27,0,0,0,0,0,0,0,0,11.665,83.43,0.205,90.55,0.021,72.72,32.325,54.78,1.238,39.23,0,0,0,0
6037533203,1827,Los Angeles,90255,Huntington Park,387.97,56.28,0.676,47.27,0,0,0,0,0,0,0,0,11.665,83.43,0.205,90.55,0.021,72.72,32.325,54.78,1.238,39.23,0,0,0,0
6037534502,4257,Los Angeles,90255,Huntington Park,516.52,82.11,0.676,47.18,0,0,0,0,<0.001,39.04,0,0,11.664,83.34,0.205,90.48,0.021,72.75,32.321,54.68,1.238,39.16,0,0,<0.001,89.90
6037533201,2805,Los Angeles,90255,Huntington Park,387.38,56.13,0.676,47.14,0,0,0,0,0,0,0,0,11.657,83.30,0.205,90.44,0.021,72.65,32.325,54.70,1.238,39.15,0,0,0,0
6059042323,4512,Orange ,92629,Dana Point,369.26,52.80,0.915,57.56,0,0,0,0,<0.001,39.07,25.172,99.86,1.099,35.15,0,0,0,0,64.368,98.48,1.236,39.14,0,0,0,0
6059075809,3023,Orange ,92861,Villa Park,386.31,56.00,0.015,20.14,0,0,0,0,0.004,41.87,0.005,75.19,0.987,34.34,0.001,78.45,0,0,58.063,97.21,1.232,39.13,0,0,0,0
6065042715,12805,Riverside ,92532,Lake Elsinore,604.02,90.05,2.349,84.89,0,0,0.002,83.10,0.133,49.46,0.050,82.25,4.532,61.71,0.250,91.67,0.038,74.83,17.773,37.00,1.231,39.11,0,0,0,0
6037920104,2798,Los Angeles,91384,Castaic,312.70,44.32,0.637,45.63,0,0,0,0,0.653,71.06,0,0,3.318,46.49,0,0,0.198,82.20,10.777,28.22,1.229,39.10,0,0,0,0
6073019002,1759,San Diego,92028,Fallbrook,514.81,82.07,0.874,56.08,0,0,<0.001,75.30,0.001,41.32,<0.001,71.13,2.571,44.39,<0.001,76.53,<0.001,63.72,24.735,47.26,1.227,39.09,0,0,0,0
6081606500,3613,San Mateo,94402,San Mateo,446.13,64.35,0.238,30.26,0,0,0.063,95.36,0,0,1.052,97.35,3.625,52.54,0.014,82.24,0,0,28.208,49.30,1.226,39.07,0,0,0,0
6065042506,9483,Riverside ,92553,Moreno Valley,568.06,87.41,0.515,40.68,0,0,0.003,84.54,0.020,45.28,0.098,84.98,3.958,59.82,0.149,89.10,0.002,68.82,33.473,55.78,1.225,39.06,0,0,0,0
6037534302,3673,Los Angeles,90201,Bell,485.14,77.57,0.100,25.34,0,0,0,0,0.110,48.78,0,0,5.833,67.74,1.446,97.12,1.274,98.98,1.206,13.78,1.224,39.05,0,0,0.124,94.35
6065046401,3768,Riverside ,92530,Lake Elsinore,796.67,98.82,2.348,84.87,0,0,0.002,82.57,0.122,49.02,0.269,92.48,5.090,63.53,0.236,91.37,0.036,74.50,17.900,37.23,1.223,39.04,0.005,92.01,<0.001,90.04
6073018803,4564,San Diego,92003,Bonsall,224.80,25.88,0.891,56.38,0,0,0,0,0.001,40.86,0,0,2.670,44.73,0,0,0,0,23.691,43.82,1.222,39.02,0,0,0,0
6037900508,3334,Los Angeles,93535,Lancaster,405.85,59.18,0.686,47.78,0,0,0.001,80.20,4.203,92.92,0.001,73.32,3.037,45.92,0,0,0,0,9.271,26.70,1.220,39.01,0,0,0,0
6037502902,4043,Los Angeles,90670,Santa Fe Springs,543.38,84.81,0.661,46.50,0,0,0,0,0.255,64.61,0,0,10.917,81.86,0.190,89.79,0.131,79.04,28.774,50.58,1.219,39.00,0,0,0.008,92.00
6071011102,2031,San Bernardino,92314,Big Bear City,384.42,55.79,0.083,24.91,0,0,<0.001,78.41,0,0,0.066,83.64,2.133,42.53,0,0,0,0,4.856,22.40,1.219,38.98,0,0,0.051,93.54
6065046404,5590,Riverside ,92595,Wildomar,603.74,90.02,2.358,84.96,0,0,0.002,83.09,0.131,49.36,0.051,82.26,4.507,61.64,0.247,91.63,0.037,74.79,17.790,37.04,1.217,38.97,0,0,0,0
6097150100,2322,Sonoma ,95476,Sonoma,561.58,86.73,7.170,98.63,0.007,96.25,<0.001,75.88,0,0,1.034,97.11,2.864,45.15,0,0,0,0,2.167,15.70,1.217,38.96,0,0,0.076,93.89
6073018801,3614,San Diego,92028,Fallbrook,184.12,17.28,0.917,57.59,0,0,0,0,0,0,0,0,2.826,45.05,0,0,0,0,22.071,42.53,1.214,38.95,0,0,0,0
6073018802,8122,San Diego,92028,Fallbrook,184.12,17.28,0.917,57.59,0,0,0,0,0,0,0,0,2.826,45.05,0,0,0,0,22.071,42.53,1.214,38.95,0,0,0,0
6065043008,5394,Riverside ,92530,Lake Elsinore,694.63,95.90,2.369,85.01,0,0,0.002,82.95,0.131,49.33,0.050,82.18,4.491,61.59,0.246,91.60,0.037,74.78,17.779,37.03,1.213,38.92,<0.001,91.24,0,0
6065050700,9969,Riverside ,92563,Murrieta,502.60,80.41,0.565,42.91,0,0,0.010,87.79,0.012,43.20,0.098,84.94,4.357,61.02,0.138,88.17,0,0,33.306,55.65,1.207,38.91,0,0,0,0
6037602106,5702,Los Angeles,90250,Hawthorne,408.37,59.48,0.499,38.83,0,0,0,0,0.076,47.37,<0.001,72.82,3.746,53.01,0.039,85.06,0,0,45.366,72.39,1.206,38.89,0,0,0,0
6037431200,6439,Los Angeles,91010,Duarte,439.83,63.08,0.849,54.72,0,0,0,0,1.178,75.42,0,0,6.235,69.79,<0.001,77.08,1.365,99.01,7.498,24.92,1.205,38.88,0,0,0,0
6037534301,4636,Los Angeles,90201,Bell,318.87,44.92,0.491,38.70,0,0,0,0,0,0,0,0,3.424,46.94,0.900,95.85,0.830,98.51,0,0,1.203,38.87,0,0,0,0
6029005506,5998,Kern ,93560,Rosamond,675.30,95.40,2.897,93.28,0,0,0.001,79.99,12.840,97.54,0.680,96.46,4.008,59.93,0,0,0,0,2.790,18.70,1.200,38.86,2.556,98.13,0.012,92.41
6095252904,4726,Solano ,95688,Vacaville,637.39,92.42,0.990,60.34,0,0,0.047,94.69,8.630,95.58,0.505,95.57,6.916,71.80,0.031,84.45,0.006,70.35,8.544,25.77,1.200,38.84,0,0,0,0
6037600502,2355,Los Angeles,90303,Inglewood,255.27,33.85,0.409,35.18,0,0,0,0,0,0,0.024,78.37,0.803,31.12,0,0,0,0,44.673,71.78,1.199,38.83,0,0,0,0
6065042714,3230,Riverside ,92587,Sun City,602.95,89.88,2.368,85.00,0,0,0.002,82.94,0.128,49.16,0.051,82.27,4.471,61.49,0.243,91.47,0.036,74.65,17.830,37.16,1.199,38.82,0,0,0,0
